n,k,Time (sec)
128,3,0.0012228259999999999911
128,5,0.00032168799999999998698
128,7,0.00031472400000000000419
128,9,0.00043093599999999998183
128,11,0.00078085500000000000395
128,13,0.00081688300000000001883
128,15,0.00085499700000000002694
128,17,0.0011294589999999999751
128,19,0.001498469000000000103
256,3,0.00028107099999999997928
256,5,0.00049342299999999999528
256,7,0.00095897300000000000857
256,9,0.0013826890000000000968
256,11,0.001905096000000000003
256,13,0.0024941299999999997847
256,15,0.0031677639999999999965
256,17,0.004094345999999999576
256,19,0.005462011000000000123
512,3,0.00079461300000000000335
512,5,0.0016895809999999998954
512,7,0.003236833000000000158
512,9,0.0050188050000000003145
512,11,0.0073061230000000003046
512,13,0.010101040000000000366
512,15,0.012841223000000000568
512,17,0.016418822999999999057
512,19,0.022808486999999998818
1024,3,0.0025769209999999998124
1024,5,0.0065440089999999999371
1024,7,0.012815088999999999994
1024,9,0.020493167999999999107
1024,11,0.029419091000000001379
1024,13,0.032136417999999999928
1024,15,0.043848841999999998986
1024,17,0.055715588000000003388
1024,19,0.073520428999999998254
2048,3,0.010362454000000000109
2048,5,0.025696105000000000335
2048,7,0.048213851000000002012
2048,9,0.066518894999999994555
2048,11,0.093328828000000002563
2048,13,0.12771148800000001189
2048,15,0.16723084899999998698
2048,17,0.22379391700000000887
2048,19,0.30008315200000001965
4096,3,0.040434799999999999909
4096,5,0.082972615999999999037
4096,7,0.16187767200000000023
4096,9,0.25822521300000000899
4096,11,0.4184885210000000022
4096,13,0.53655869599999994612
4096,15,0.69161722500000000213
4096,17,0.87230861400000003769
4096,19,1.1867334290000000063
