n,k,Time (sec)
128,3,0.0039824420000000000999
128,5,0.00419371100000000014
128,7,0.0042419270000000003709
128,9,0.004233701999999999778
128,11,0.0037907990000000000783
128,13,0.0035515410000000000729
128,15,0.0038937059999999998165
128,17,0.0043273599999999997137
128,19,0.0039061730000000001971
256,3,0.0088893170000000007458
256,5,0.009064176999999999651
256,7,0.0087754359999999993064
256,9,0.0086968940000000001522
256,11,0.0092459550000000001457
256,13,0.0097354339999999994076
256,15,0.0097766599999999995174
256,17,0.0093267439999999996597
256,19,0.0094615319999999999284
512,3,0.019077246999999998567
512,5,0.019370228999999999225
512,7,0.019687243000000000104
512,9,0.019505916000000001614
512,11,0.01992806499999999828
512,13,0.02014015699999999881
512,15,0.021059568000000000731
512,17,0.022424401000000000056
512,19,0.025184314999999998785
1024,3,0.041186558999999997588
1024,5,0.039846536000000001843
1024,7,0.041150173999999997698
1024,9,0.04107298599999999883
1024,11,0.043563168999999998809
1024,13,0.051435934000000002597
1024,15,0.057768585999999996772
1024,17,0.068468936999999993609
1024,19,0.085996724999999996086
2048,3,0.082223702999999995211
2048,5,0.084867198000000004798
2048,7,0.0870797769999999971
2048,9,0.10046819099999999836
2048,11,0.13110216399999999326
2048,13,0.16169292399999998788
2048,15,0.19520807800000000709
2048,17,0.22525069699999999973
2048,19,0.26770028299999998334
4096,3,0.17110409200000001317
4096,5,0.18008384199999999398
4096,7,0.23909552200000000477
4096,9,0.32781967499999997706
4096,11,0.41303644099999997641
4096,13,0.52136257600000002199
4096,15,0.69851532400000004852
4096,17,0.79897206600000003629
4096,19,0.98150636899999998963
