n,k,Time (sec)
128,4,0.11684776800000000463
128,8,0.00083686800000000005195
128,16,0.00098556800000000003431
128,32,0.0017902359999999999541
256,4,0.001104757000000000048
256,8,0.0033075549999999997834
256,16,0.0043392009999999999956
256,32,0.010428087000000000814
256,64,0.029364868999999998306
512,4,0.0043071519999999998557
512,8,0.01347106600000000029
512,16,0.018143847000000001141
512,32,0.047402104999999999935
512,64,0.15601056599999998942
512,128,0.43973247700000001048
1024,4,0.017255737000000000159
1024,8,0.054769465000000003285
1024,16,0.07552952100000000224
1024,32,0.2109127419999999864
1024,64,0.74698957499999996124
1024,128,2.5207718840000001848
1024,256,15.14862827600000017
