n,k,Time (sec)
128,4,0.11259895899999999846
128,8,0.00019671399999999998717
128,16,0.00018326400000000001261
128,32,0.00019306099999999998674
128,64,0.00019325200000000001253
256,4,0.00074997499999999994724
256,8,0.00075051600000000000864
256,16,0.00079140099999999995346
256,32,0.00075049700000000003474
256,64,0.00074520900000000004065
256,128,0.0007900140000000000157
512,4,0.0030962300000000001626
512,8,0.0031073960000000001164
512,16,0.0030414019999999999076
512,32,0.0030301289999999998954
512,64,0.0030179120000000001986
512,128,0.003038996999999999879
512,256,0.0030379489999999998578
1024,4,0.012153620000000000395
1024,8,0.012232072999999999557
1024,16,0.012161811999999999276
1024,32,0.012162327000000000554
1024,64,0.012234691000000000663
1024,128,0.012219795999999999783
1024,256,0.012198973000000000108
1024,512,0.012164957000000000548
2048,4,0.049139649999999999996
2048,8,0.048927902000000002281
2048,16,0.049174974000000003238
2048,32,0.048980695999999997181
2048,64,0.049362687000000002313
2048,128,0.049492644000000002302
2048,256,0.049307397000000002807
2048,512,0.051582003000000001269
2048,1024,0.050205407999999999979
4096,4,0.20057168300000000061
4096,8,0.20829973900000001152
4096,16,0.22317302599999999657
4096,32,0.21391594799999999466
4096,64,0.22022175399999999179
4096,128,0.21850544499999999259
4096,256,0.21603319400000001171
4096,512,0.25051446399999999226
4096,1024,0.23809495799999999543
4096,2048,0.24218700000000001338
8192,4,1.0828626830000001036
8192,8,1.1662437109999999052
8192,16,0.94979491500000001736
8192,32,0.80705987599999995386
8192,64,0.83984207499999996571
8192,128,0.85817374099999998993
8192,256,0.88500538500000003328
8192,512,0.92067602699999995242
8192,1024,0.93578416799999997178
8192,2048,0.9129097870000000281
8192,4096,0.81462631699999998869
