n,k,Time (sec)
128,4,0.00078832299999999995346
128,8,0.002827525999999999911
128,16,0.0089500059999999999338
128,32,0.02657826400000000075
256,4,0.0033700739999999998128
256,8,0.01167224900000000086
256,16,0.039811989999999998491
256,32,0.14485527100000000766
256,64,0.40943023699999997467
512,4,0.014067005999999999954
512,8,0.047842112999999998613
512,16,0.17590752700000000797
512,32,0.66463309400000003535
512,64,2.2824486429999999437
512,128,6.5008520880000002506
1024,4,0.056320280999999999816
1024,8,0.19525172599999998657
1024,16,0.7245429490000000472
1024,32,2.8993465020000002141
1024,64,10.456323099000000454
1024,128,35.234079330000000141
1024,256,103.82101541299999781
