n,k,Time (sec)
128,3,0.12657907700000001205
128,5,0.00039010699999999999717
128,7,0.00066286100000000004913
128,9,0.0011450189999999999414
128,11,0.0016814889999999999871
128,13,0.0022789170000000000954
128,15,0.0032072429999999998128
128,17,0.0011815479999999999299
128,19,0.0016594240000000000552
256,3,0.00075443400000000000738
256,5,0.0015911880000000001075
256,7,0.002609279999999999846
256,9,0.0044819889999999995914
256,11,0.0071691250000000001502
256,13,0.0099134250000000000147
256,15,0.013417115999999999765
256,17,0.0055576109999999996278
256,19,0.0084675440000000004592
512,3,0.0030230809999999999453
512,5,0.006071298000000000146
512,7,0.010188834000000000779
512,9,0.01752313999999999955
512,11,0.028965007000000000947
512,13,0.0407379900000000017
512,15,0.05434434700000000118
512,17,0.025082474999999999909
512,19,0.035922769000000000228
1024,3,0.010969865999999999992
1024,5,0.02320163999999999907
1024,7,0.041379586000000002921
1024,9,0.071012930000000001884
1024,11,0.11691727300000000211
1024,13,0.16688119900000000784
1024,15,0.22393209599999999715
1024,17,0.10356097899999999745
1024,19,0.14919108400000000159
2048,3,0.046241535999999999751
2048,5,0.092122123999999999677
2048,7,0.16612955600000001155
2048,9,0.29706551399999997498
2048,11,0.47391785499999999898
2048,13,0.6789869579999999738
2048,15,0.91425054500000002555
2048,17,0.43559727799999997666
2048,19,0.62981123900000002269
4096,3,0.17531349299999998692
4096,5,0.37046713199999997679
4096,7,0.67411077299999999646
4096,9,1.1877981269999999814
4096,11,1.9450853720000000902
4096,13,2.7669594069999998709
4096,15,3.721260970999999973
4096,17,1.8156287449999999328
4096,19,2.6034075300000001363
