n,k,Time (sec)
128,3,0.0006321340000000000162
128,5,0.0014087360000000000593
128,7,0.0024457419999999998814
128,9,0.0040440870000000000289
128,11,0.0061117070000000000771
128,13,0.0074944950000000003232
128,15,0.010083147000000000637
128,17,0.011647331000000000351
128,19,0.014301816000000000181
256,3,0.0021504480000000001164
256,5,0.005697429000000000382
256,7,0.010432465000000000141
256,9,0.016784416999999999393
256,11,0.02616758200000000173
256,13,0.033779525999999997221
256,15,0.043319300999999997559
256,17,0.055174786000000003439
256,19,0.072100143000000005422
512,3,0.0094021739999999992543
512,5,0.023019571999999998563
512,7,0.04374798500000000312
512,9,0.071601421999999997903
512,11,0.1074661310000000064
512,13,0.14490563000000000748
512,15,0.18895258300000000729
512,17,0.24054850199999999738
512,19,0.32291570699999999627
1024,3,0.037475907000000002744
1024,5,0.095756196000000001756
1024,7,0.17657559400000000238
1024,9,0.29366404499999998468
1024,11,0.43918601800000001134
1024,13,0.59429405999999995736
1024,15,0.83111509699999996936
1024,17,0.99599208800000005315
1024,19,1.342787404999999934
2048,3,0.14853256900000000318
2048,5,0.38719935999999999243
2048,7,0.73864485700000004353
2048,9,1.1766047269999999614
2048,11,1.9050187339999999914
2048,13,2.5616782030000000425
2048,15,3.3674147250000001641
2048,17,4.211068800999999695
2048,19,5.6676635969999997755
4096,3,0.62781233899999999704
4096,5,1.543002484000000063
4096,7,2.9643767830000000707
4096,9,4.8007843829999998775
4096,11,7.6544590519999999856
4096,13,10.841184742999999457
4096,15,14.480699323999999706
4096,17,18.149770311000001044
4096,19,24.060747171999999239
