n,k,Time (sec)
128,4,0.00065195400000000005344
128,8,0.000675439000000000009
128,16,0.00062410500000000001565
128,32,0.00062625199999999999357
128,64,0.00062661499999999996282
256,4,0.0025692470000000001973
256,8,0.0025740839999999999207
256,16,0.0026585419999999998497
256,32,0.0026049219999999999667
256,64,0.0025744629999999999251
256,128,0.0026398939999999998345
512,4,0.011395175000000000443
512,8,0.011105162000000000019
512,16,0.010763465999999999312
512,32,0.011604177000000000242
512,64,0.011563910000000000161
512,128,0.011571453000000000641
512,256,0.011692614000000000479
1024,4,0.044439999000000000862
1024,8,0.048573840000000000072
1024,16,0.046138018000000002861
1024,32,0.045696805999999999537
1024,64,0.047853872999999998161
1024,128,0.046746032999999999336
1024,256,0.046995268999999999238
1024,512,0.044685595000000001564
2048,4,0.18984962099999999618
2048,8,0.18719168099999999866
2048,16,0.17972572300000000389
2048,32,0.17555958299999999128
2048,64,0.17666808500000000248
2048,128,0.17611268899999998894
2048,256,0.18840130699999999009
2048,512,0.17957131000000001175
2048,1024,0.18444580699999998941
4096,4,0.76668873699999995353
4096,8,0.70629100000000000215
4096,16,0.71173378899999995006
4096,32,0.72405438300000002361
4096,64,0.74623306300000002977
4096,128,0.71519982100000001335
4096,256,0.70964312600000001297
4096,512,0.78597734299999999497
4096,1024,0.75749534900000004001
4096,2048,0.70469165600000005512
8192,4,3.3463580479999999184
8192,8,2.9786714739999999857
8192,16,2.9669749549999999694
8192,32,2.9790330499999999603
8192,64,2.8628145339999999663
8192,128,3.1537581760000001907
8192,256,2.9702646289999998785
8192,512,3.0440295150000000746
8192,1024,2.9170691109999999924
8192,2048,3.0274970379999999182
8192,4096,2.9350219169999998137
