n,k,Time (sec)
128,4,0.003788250999999999858
128,8,0.0039879180000000000184
128,16,0.0037992299999999997948
128,32,0.0064435849999999999377
256,4,0.0084576229999999991832
256,8,0.0081003180000000004485
256,16,0.0085988780000000007708
256,32,0.013464576000000000669
512,4,0.017025434999999998487
512,8,0.017108093000000001299
512,16,0.024680646000000000528
512,32,0.050045629000000001196
1024,4,0.034821662000000003223
1024,8,0.035817374999999998519
1024,16,0.073910454999999999903
1024,32,0.17229005999999999488
